연도,연번,지역,직장어린이집명,소재지,전화번호,설치일(인가일)
2022,1,서울특별시,101경비단 어린이집,서울특별시 성북구 정릉로10라길 18-5,02-911-2101,2022-03-07
2022,2,서울특별시,AJ어린이집,서울특별시 송파구 정의로8길 9 문정동 640-5,02-6240-1490,2016-01-13
2022,3,서울특별시,CJ키즈빌 어린이집,서울특별시 중구 동호로 330 (쌍림동),02-722-1070,2011-05-27
2022,4,서울특별시,CJ키즈빌어린이집,서울특별시 서초구 전원말4길 7,02-586-2022,2020-03-01
2022,5,서울특별시,DB손해보험 아이사랑 어린이집,서울특별시 용산구 후암로 107 게이트웨이타워,02-771-8607,2014-02-20
2022,6,서울특별시,DYPNF행복한어린이집,서울특별시 강서구 마곡중앙8로7길 39,02 -2160-8210,2022-02-22
2022,7,서울특별시,GKL행복(강남 코엑스2호점)어린이집,서울특별시 강남구 봉은사로68길 27,02-501-3385,2018-02-27
2022,8,서울특별시,GKL행복어린이집(강남),서울특별시 강남구 삼성로122길 7 GKL 행복 어린이집,02-3448-4571,2015-03-02
2022,9,서울특별시,GKL행복어린이집(강북),서울특별시 중구 남대문로5가 한강대로 416 서울스퀘어 5층,02-6456-8816,2015-02-27
2022,10,서울특별시,GS SHOP 도담도담 어린이집,서울특별시 영등포구 문래동6가 선유로 75,02-3667-8935,2015-03-01
2022,11,서울특별시,GS건설 꿈과 희망의 어린이집,서울특별시 종로구 종로 33 그랑서울 타워2  (2층),02-3789-5971,2014-01-29
2022,12,서울특별시,GS리테일 푸르니 어린이집,서울특별시 강남구 테헤란로27길 34-3 .,02-6925-5012,2015-08-03
2022,13,서울특별시,IBK 참 ! 좋은 어린이집,서울특별시 강남구 선릉로 332,02-552-2527,2012-03-22
2022,14,서울특별시,IBK 참! 좋은 어린이집,서울특별시 중구 을지로2가 을지로 82,02-2031-3394,2017-03-20
2022,15,서울특별시,IBK 참!좋은 어린이집,서울특별시 용산구 한남대로 72,02-798-3360,2012-03-27
2022,16,서울특별시,IBK참!좋은(마포)어린이집,서울특별시 마포구 큰우물로 64,02 -729 -6301,2022-03-01
2022,17,서울특별시,IBK참!좋은어린이집(구로),"서울특별시 구로구 디지털로32길 55 3층, 구로동",02-830-3020,2013-12-18
2022,18,서울특별시,IBK참!좋은어린이집(노원),서울특별시 노원구 동일로 1527 중소기업은행 2층,02-937-7203,2012-09-05
2022,19,서울특별시,kbs어린이집,서울특별시 영등포구 여의공원로 13,02-781-2496,1995-08-04
2022,20,서울특별시,KB강서어린이집,서울특별시 강서구 양천로 643 2층,02-3665-8101,2015-08-20
2022,21,서울특별시,KB구의 어린이집,서울특별시 광진구 광나루로 525 3층,02-6235-7977,2020-02-20
2022,22,서울특별시,KB여의도어린이집,서울특별시 영등포구 국제금융로8길 26 1층,02-6332-5050,2021-02-24
2022,23,서울특별시,KB합정어린이집,서울특별시 마포구 포은로2가길 59,02-337-8102,2018-03-16
2022,24,서울특별시,KCC직장어린이집,"서울특별시 서초구 사평대로 334-2, 1층",02-3447-9280,2019-05-02
2022,25,서울특별시,KDB꿈나무어린이집,서울특별시 영등포구 은행로 22 산업은행 별관 1층,02-780-9066,2013-03-04
2022,26,서울특별시,KDB어린이집,서울특별시 영등포구 은행로 14 한국산업은행,02-787-4365,2012-03-23
2022,27,서울특별시,kids-sure어린이집,서울특별시 종로구 종로 14 (서린동),02-723-1272,2012-06-25
2022,28,서울특별시,KIM&CHANG 어린이집,서울특별시 종로구 신문로2가 경희궁길 26 썬타워빌딩 1층,02-738-6901,2013-02-22
2022,29,서울특별시,KIST숲속 어린이집,서울특별시 성북구 화랑로14길 5 .,02-958-7051,2016-11-21
2022,30,서울특별시,KTDS서초어린이집,서울특별시 서초구 효령로 174 ktds서초 어린이집,02-3471-1264,2011-02-22
2022,31,서울특별시,KTi행복한어린이집,서울특별시 양천구 오목로 52길 12 횃불교회 1층,02-2643-1840,2003-08-05
2022,32,서울특별시,KT연구개발센터 꿈나무어린이집,서울특별시 서초구 태봉로 151 (우면동),02-574-0030,2010-01-25
2022,33,서울특별시,KT혜화 어린이집,서울특별시 종로구 대학로 65 (연건동),02-3676-9300,2008-02-28
2022,34,서울특별시,LG CNS어린이집,서울특별시 강서구 마곡중앙10로 70,02-2088-4065,2017-12-27
2022,35,서울특별시,LG 에너지솔루션 지정 어린이집,서울특별시 영등포구 여의대로 108,02 -2118-0700,2022-08-24
2022,36,서울특별시,LG광화문어린이집,서울특별시 종로구 신문로2가 새문안로 58,070-4065-0286,2014-02-12
2022,37,서울특별시,LG마포어린이집,서울특별시 마포구 마포대로 155 마포빌딩 3층,02-2039-7716,2018-02-27
2022,38,서울특별시,LG사랑어린이집,서울특별시 영등포구 여의대로 128 LG트윈타워,02-3773-1300,2013-03-05
2022,39,서울특별시,LG서울역어린이집,서울특별시 중구 남대문로5가 후암로 98 2층,02-3789-1002,2017-10-26
2022,40,서울특별시,LG이노텍 서울어린이집,서울특별시 강서구 마곡중앙10로 30 E3,02-2135-1236,2020-02-26
2022,41,서울특별시,LG전자 서초어린이집,서울특별시 서초구 양재대로11길 19 고객센터3층,02-503-4013,2019-10-01
2022,42,서울특별시,LG전자 어린이집,서울특별시 금천구 두산로 79 메이시티 1층 (독산동),02-830-2660,2006-09-08
2022,43,서울특별시,LG전자구로어린이집,서울특별시 구로구 가마산로 95,02-868-1410,2011-09-05
2022,44,서울특별시,LH서울어린이집,서울특별시 강남구 선릉로121길 12,02-3416-3687,2014-03-05
2022,45,서울특별시,MBC푸르니어린이집,서울특별시 마포구 성암로 267,02-789-2205,2014-02-27
2022,46,서울특별시,NH투자증권어린이집,서울특별시 영등포구 여의대로 66 2층,02-761-9433,2017-11-24
2022,47,서울특별시,N젤어린이집,서울특별시 강서구 마곡중앙로 177,02-6340-8131,2019-08-27
2022,48,서울특별시,SBS어린이집,서울특별시 양천구 국회대로 214 1~2층 (신정동),02-2651-2394,2007-03-30
2022,49,서울특별시,SC으뜸별 어린이집,서울특별시 종로구 종로 47,02-3210-0904,2017-08-31
2022,50,서울특별시,SeoulTech어린이집,서울특별시 노원구 공릉로 232 서울과학기술대학교 내,02-972-1156,2016-10-07
2022,51,서울특별시,SGI서울보증 어린이집,서울특별시 종로구 김상옥로 29 2층,02-3671-7051,2016-02-22
2022,52,서울특별시,SK ecoplant 행복날개어린이집,서울특별시 종로구 율곡로 2길 19 SK건설행복날개어린이집,02-6395-0202,2013-08-27
2022,53,서울특별시,SKT행복날개어린이집,서울특별시 중구 을지로2가 을지로 65 SK-T타워 3층,02-6100-0115,2007-03-02
2022,54,서울특별시,SKY어린이집,서울특별시 마포구 매봉산로 75 DDMC 3층,02-2146-0980,2017-03-01
2022,55,서울특별시,SK네트웍스새싹어린이집,"서울특별시 종로구 청계천로 85, 삼일빌딩, 3층",070-7800-2115,2009-01-29
2022,56,서울특별시,SK브로드밴드 행복한 어린이집,서울특별시 중구 남대문로5가 퇴계로 24 SK남산그린빌딩 4층,02-6266-2300,2013-08-29
2022,57,서울특별시,SK스토아 행복어린이집,"서울특별시 마포구 월드컵북로 402 2층(상암동,KGIT센터)",02-6393-5320,2020-02-27
2022,58,서울특별시,SK행복어린이집,서울특별시 종로구 종로 26 SK서린동빌딩 2층,02-2121-1611,2007-09-14
2022,59,서울특별시,the KIDS 대방 어린이집,서울특별시 동작구 보라매로5가길 24 사옥2층,02-849-8555,2015-09-01
2022,60,서울특별시,the KIDS 여의도1 어린이집,서울특별시 영등포구 의사당대로 18 현대카드/캐피탈 본사 3관 1층,02-3775-2527,2015-08-28
2022,61,서울특별시,the KIDS 여의도2 어린이집,서울특별시 영등포구 여의대로 24 전경련회관 24,02-3775-4760,2015-10-27
2022,62,서울특별시,WITH MOM어린이집,서울특별시 마포구 상암산로 82,02-6933-7901,2013-02-25
2022,63,서울특별시,감사원어린이집,서울특별시 종로구 북촌로 127,02-730-9390,2022-03-01
2022,64,서울특별시,강남구청 직장어린이집,서울특별시 강남구 학동로 426,02-2176-0950,2012-03-13
2022,65,서울특별시,강남세브란스어린이집,서울특별시 강남구 언주로63길 29 명지빌딩 1층,02-2019-4300,2016-05-31
2022,66,서울특별시,강동경희대병원어린이집,서울특별시 강동구 동남로 881 5층 서희스타힐스(명일동),02-440-6710,2017-03-02
2022,67,서울특별시,강동구청직장어린이집,"서울특별시 강동구 성내로 25 1층,강동구청직장어린이집",02-471-5996,2004-11-18
2022,68,서울특별시,강북구청어린이집,서울특별시 강북구 도봉로89길 13 강북구청 (수유동),02-995-4348,2003-02-01
2022,69,서울특별시,강서구청어린이집,"서울특별시 강서구 화곡로44나길 72 1층,2층 강서구청어린이집",070-8879-0622,2006-03-06
2022,70,서울특별시,건이강이어린이집,서울특별시 영등포구 당산동6가 당산로 238,02-2632-4100,2016-08-22
2022,71,서울특별시,경찰청어린이집,서울특별시 서대문구 통일로 97 (미근동),02-363-9675,2007-07-27
2022,72,서울특별시,경희대학교직장어린이집,서울특별시 동대문구 경희대로 26-6,02-961-9326,2010-03-02
2022,73,서울특별시,경희의료원 어린이집,서울특별시 동대문구 경희대로1나길 56-1,02-958-9850,1996-05-01
2022,74,서울특별시,고려대학교 구로병원 어린이집,서울특별시 구로구 구로동로28길 33-41,02-855-1920,2008-04-01
2022,75,서울특별시,고려대학교 서울캠퍼스 어린이집,서울특별시 성북구 안암동5가 안암로 145 안암동 5가 산 1-92번지,02-3290-1793,2016-09-01
2022,76,서울특별시,고려대학교의료원 안암병원 어린이집,서울특별시 성북구 안암로 145 (안암동5가 산1-61),02-921-6585,2002-03-21
2022,77,서울특별시,관악구청직장어린이집,서울특별시 관악구 관악로 145 관악구청 별관 2층 (봉천동)  [청룡동],02-886-5006,2008-12-01
2022,78,서울특별시,광진구청직장어린이집,서울특별시 광진구 자양로 117 광진구청 1동 777호(자양동),02-450-1650,2003-10-10
2022,79,서울특별시,교보생명다솜이어린이집,서울특별시 종로구 신문로2가 경희궁1가길 3,02-722-2012,2012-12-27
2022,80,서울특별시,교원&하나투어 공동직장어린이집,서울특별시 중구 을지로2가 을지로 55 교원명동빌딩 3층,02-779-6118,2019-05-13
2022,81,서울특별시,구로구청 사랑채움 어린이집,서울특별시 구로구 가마산로 245,02-858-2046,2017-03-03
2022,82,서울특별시,구로행복어린이집,서울특별시 구로구 부광로 88,02-6341-2331,2021-10-01
2022,83,서울특별시,국립중앙도서관책사랑어린이집,서울특별시 서초구 반포대로 201 국립중앙도서관 내 어린이집,02-590-6309,2016-02-04
2022,84,서울특별시,국립중앙박물관 해누림 어린이집,서울특별시 용산구 서빙고로 137 국립중앙박물관,02-2077-9048,2020-03-06
2022,85,서울특별시,국민체육진흥공단어린이집,서울특별시 송파구 올림픽로 424 올림픽공원내 올림픽수영장건물 국민체육진흥공단어린이집,02-410-1248,2003-03-13
2022,86,서울특별시,국방부청사어린이집,서울특별시 용산구 이태원로 22 국방부 (용산동3가),02-798-0097,2009-09-30
2022,87,서울특별시,국회제1어린이집,서울특별시 영등포구 의사당대로 1 국회제1어린이집,02-788-3294,1995-01-14
2022,88,서울특별시,국회제2어린이집,서울특별시 영등포구 의사당대로 1 (여의도동),02-788-4794,2010-02-24
2022,89,서울특별시,국회제3어린이집,서울특별시 영등포구 의사당대로 1,02-780-3420,2014-06-27
2022,90,서울특별시,금나래어린이집,서울특별시 금천구 시흥대로73길 70 금천구청 2층 (시흥동),02-802-1224,2008-12-22
2022,91,서울특별시,금융감독원어린이집,서울특별시 영등포구 여의대로 38 금융감독원어린이집 (여의도동),02-3145-6050,2005-08-08
2022,92,서울특별시,금융투자협회푸르니어린이집,서울특별시 영등포구 여의나루로 67-8,02-780-7789,2011-10-27
2022,93,서울특별시,금천G밸리어린이집,"서울특별시 금천구 두산로 70 현대지식산업센터 티-115,116,117-01",02-2169-2280,2016-03-31
2022,94,서울특별시,나이스 가온 어린이집,서울특별시 영등포구 국회대로74길 19,02-780-9370,2019-02-28
2022,95,서울특별시,노브랜드노블베이비어린이집,서울특별시 송파구 오금로46길 62 2층 (가락동),02-430-8142,2007-12-06
2022,96,서울특별시,노원구청직장어린이집,서울특별시 노원구 노해로 437 (상계동 노원구청직장어린이집),02-3392-1912,1997-09-01
2022,97,서울특별시,놀이존어린이집,서울특별시 강남구 영동대로141길 5,070-4837-0620,2017-10-27
2022,98,서울특별시,농심어린이집,서울특별시 동작구 여의대방로 112,02-822-6800,2013-08-29
2022,99,서울특별시,농협중앙회 별관 어린이집,서울특별시 중구 새문안로 16,02 -2080-8135,2021-11-18
2022,100,서울특별시,농협중앙회어린이집,서울특별시 중구 새문안로 16,02-2080-4941,2012-03-02
2022,101,서울특별시,다람패스트파이브공동직장어린이집,서울특별시 강남구 봉은사로18길 45-1,02-3453-7734,2020-02-28
2022,102,서울특별시,다솜어린이집,서울특별시 서초구 반포대로 180 다솜어린이집[서초경찰서 맞은편],02-592-9944,2005-12-30
2022,103,서울특별시,대웅 리틀베어 어린이집,서울특별시 강남구 봉은사로114길 12,02-550-8885,2011-11-21
2022,104,서울특별시,도봉구청직장어린이집,서울특별시 도봉구 마들로 656 도봉구청내1층직장어린이집,02-2091-5996,2004-02-24
2022,105,서울특별시,도토리소풍넥슨 강남어린이집,서울특별시 강남구 강남대로110길 36 (역삼동),02-538-1026,2020-10-23
2022,106,서울특별시,도토리소풍넥슨 대치어린이집,서울특별시 강남구 역삼로90길 25,02-565-7900,2021-03-30
